course_id,course_name,credits,category,prereq,notes
ENGL3360,From Beowulf to Tolkien,,GenEd_AH,,
ENGL3370,The Gothic Tradition in Lit,,GenEd_AH,,
ENGL3380,Medieval Women Writers,,GenEd_AH,,
ENGL3410,Studies in Film,,GenEd_AH,,
ENGL3411,Int'l Cinema: French New Wave,,GenEd_AH,,
ENGL3420,Women Writers and the Past,,GenEd_AH,,
ENGL3440,Women in Theatre,,GenEd_AH,,
ENGL3450,British Women Novelists,,GenEd_AH,,
ENGL3460,Homer's Iliad and Odyssey,,GenEd_AH,,
ENGL3480,Modern American Drama,,GenEd_AH,,
ENGL3490,Arthurian Literature,,GenEd_AH,,
ENGL3510,Literature of the Middle Ages,,GenEd_AH,,
ENGL3520,Renaissance Literature,,GenEd_AH,,
ENGL3530,Lit of 17th Century,,GenEd_AH,,
ENGL3540,Lit of 18th Century,,GenEd_AH,,
ENGL3550,Lit of Romantic Period,,GenEd_AH,,
ENGL3560,Lit of Victorian Period,,GenEd_AH,,
ENGL3590,Contemporary World Drama,,GenEd_AH,,
ENGL3600,Med Renaissance Theater,,GenEd_AH,,
ENGL3610,Restoration Comedy,,GenEd_AH,,
ENGL3620,Modern Drama,,GenEd_AH,,
ENGL3630,English Renaissance Drama,,GenEd_AH,,
ENGL3640,African American Drama,,GenEd_AH,,
ENGL3660,Creative Writ: Poetry II,,GenEd_AH,,
ENGL3680,Feature Writing,,GenEd_AH,,
ENGL3690,Reading & Writing New Media,,GenEd_AH,,
ENGL3700,Contemporary Amer Fict,,GenEd_AH,,
ENGL3710,Lit of the Beat Movement,,GenEd_AH,,
ENGL3730,Modern Poetry,,GenEd_AH,,
ENGL3740,Contemporary Poetry,,GenEd_AH,,
ENGL3750,Modern Irish Literature,,GenEd_AH,,
ENGL3760,African-American Literature,,GenEd_AH,,
ENGL3770,Theories of Rhetoric & Comp,,GenEd_AH,,
ENGL3780,Asian American Literature,,GenEd_AH,,
ENGL3790,Postcolonial Literature,,GenEd_AH,,
ENGL3800,Travel Literature,,GenEd_AH,,
ENGL3820,Theatre History I,,GenEd_AH,,
ENGL3830,Theatre History II,,GenEd_AH,,
ENGL3860,Editing: Grammar and Style,,GenEd_AH,,
ENGL3870,Intro to Editing & Publishing,,GenEd_AH,,
ENGL3880,Sem: Teaching Writing,,GenEd_AH,,
ENGL3910,Writing on the Job,,GenEd_AH,,
ENGL3920,Visual Rhetoric,,GenEd_AH,,
ENGL3950,Special topics in English,,GenEd_AH,,
ENGL4010,Selected Authors,,GenEd_AH,,
ENGL4020,Topics in Writing,,GenEd_AH,,
ENGL4060,Community Writing II,,GenEd_AH,,
ENGL4070,Creative Writing Fiction II,,GenEd_AH,,
ENGL4080,Principles of Tech Writing,,GenEd_AH,,
ENGL4120,Software Writing,,GenEd_AH,,
ENGL4130,Advanced Software Writing,,GenEd_AH,,
ENGL4150,Young Adult Literature,,GenEd_AH,,
ENGL4180,Creative Writing: C.Non-fic.II,,GenEd_AH,,
ENGL4210,Chaucer,,GenEd_AH,,
ENGL4230,Shakespeare I,,GenEd_AH,,
ENGL4240,Shakespeare II,,GenEd_AH,,
ENGL4290,Intro to Literary Theory,,GenEd_AH,,
ENGL4360,Writing About Culture,,GenEd_AH,,
