course_id,course_name,credits,category,prereq,notes
CRIM7060,Dissertation Supervision,,GenEd_SS,,
CRIM7090,Dissertation Supervision,,GenEd_SS,,
CRIM7100,Adv. Research in Terrorism,,GenEd_SS,,
CRIM7110,Continued Dissertation Review,,GenEd_SS,,
CRIM7160,Dissertation Sem. Accelerated,,GenEd_SS,,
CRIM7410,Thesis Review,,GenEd_SS,,
CRIM7900,CategoricalLim.Dependent Var.,,GenEd_SS,,
CRIM7910,Structural Equation Modeling,,GenEd_SS,,
CRIM7920,Survival Ana.Logitudinal Data,,GenEd_SS,,
CRIM7930,Data Reductn.& Factor Analysis,,GenEd_SS,,
CRIM7940,Multi-Level Modeling,,GenEd_SS,,
CRIM7950,Advanced Qualitative Methods,,GenEd_SS,,
DGMD1000,Introduction to Digital Media,,GenEd_SS,,
ECON1010,Economics of Social Issues,,GenEd_SS,,
ECON2010,Economics I (Microeconomics),,GenEd_SS,,
ECON2010SI,Supplemental Instr. for Econ 1,,GenEd_SS,,
ECON2020,Economics II (Macroeconomics),,GenEd_SS,,
ECON2120,Statistics II,,GenEd_SS,,
ECON3020,Labor Economics,,GenEd_SS,,
ECON3030,Microeconomic Theory,,GenEd_SS,,
ECON3040,Macroeconomic Theory,,GenEd_SS,,
ECON3100,Econ of Less Dev Countries,,GenEd_SS,,
ECON3110,Mathematical Economics,,GenEd_SS,,
ECON3120,Managerial Economics,,GenEd_SS,,
ECON3160,Investments:Instrument & Strat,,GenEd_SS,,
ECON3170,Capital Markets,,GenEd_SS,,
ECON3180,Fin Markets & Monetary Policy,,GenEd_SS,,
ECON3190,Public Finance,,GenEd_SS,,
ECON3250,U.S. Economic History,,GenEd_SS,,
ECON3450,Health Economics,,GenEd_SS,,
ECON4010,Special Topics in Economics,,GenEd_SS,,
ECON4020,Industrial Organization,,GenEd_SS,,
ECON4030,International Trade Theory,,GenEd_SS,,
ECON4060,International Macroeconomics,,GenEd_SS,,
ECON4070,Econometrics,,GenEd_SS,,
ECON4090,Innovation and Development,,GenEd_SS,,
ECON4100,Economic Growth & Development,,GenEd_SS,,
ECON4150,Intro to Envir Economics,,GenEd_SS,,
ECON4160,Exp. & Behavioral Economics,,GenEd_SS,,
ECON4850,Internship in Economics,,GenEd_SS,,
ECON4991,Independent Studies,,GenEd_SS,,
ECON5130,Found Of Compar Reg Dev,,GenEd_SS,,
ECON5140,Res.Ind.Comp. in Glob.Econ.,,GenEd_SS,,
ECON5150,Pol & Econ of Public Policy,,GenEd_SS,,
ECON5930,Econometrics,,GenEd_SS,,
ECON7300,Microeconomic /Organ. Theory,,GenEd_SS,,
ECON7310,Statistics,,GenEd_SS,,
ECON7330,Econometrics I,,GenEd_SS,,
ECON7340,Econometrics II,,GenEd_SS,,
FAHS2200,Designing the Future World,,GenEd_SS,,
HONR3400,Spec Top in Honors (SS),,GenEd_SS,,
HSCI3060,Intro to Gerontology,,GenEd_SS,,
HSCI3080,Global Health,,GenEd_SS,,
LABR2400,Intro. to Labor Studies,,GenEd_SS,,
LGST1020,The Dev.of the Amer.Leg.Sys.,,GenEd_SS,,
LGST1030,Intro Paralegal Studies,,GenEd_SS,,
LGST2100,Restorative Justice,,GenEd_SS,,
LGST2340,Criminal Law,,GenEd_SS,,
LGST2500,Disability and the Law,,GenEd_SS,,
LGST2610,Intro to Legal Concepts,,GenEd_SS,,
LGST2620,Introduction to Business Law,,GenEd_SS,,
LGST2870,Legal Writing,,GenEd_SS,,
LGST3600,Legal Issues in Racism,,GenEd_SS,,
LGST3630,Corporate & Property Law,,GenEd_SS,,
LGST3650,Legal Envir of Business,,GenEd_SS,,
LGST3660,International Law,,GenEd_SS,,
LGST3670,Environmental Law,,GenEd_SS,,
LGST3700,Real Estate Law,,GenEd_SS,,
LGST3720,"Sports,Entertainment & Art Law",,GenEd_SS,,
LGST3730,Consumer Law,,GenEd_SS,,
LGST3760,Family Law,,GenEd_SS,,
LGST3770,Elder Law,,GenEd_SS,,
LGST3780,Comparative Euro Comm Law,,GenEd_SS,,
LGST3790,"Law, Logic & Ethics",,GenEd_SS,,
LGST3810,Women & the Law,,GenEd_SS,,
LGST3830,Alternative Dispute Resolution,,GenEd_SS,,
LGST3850,Immigration Law,,GenEd_SS,,
LGST3860,Intellectual Property,,GenEd_SS,,
LGST3870,Legal Research Methods,,GenEd_SS,,
LGST3880,Dir St: Law,,GenEd_SS,,
LGST3900,Litigation,,GenEd_SS,,
LGST3920,"Wills,Trusts & Estates",,GenEd_SS,,
LGST4880,Directed Study in Law,,GenEd_SS,,
LGST4890,Seminar: Law,,GenEd_SS,,
LGST4900,Legal Aspects-Cyberspace,,GenEd_SS,,
LGST4970,Legal Studies Practicum,,GenEd_SS,,
LGST4980,Paralegal Practicum/Intr,,GenEd_SS,,
LGST5140,Engineering Law,,GenEd_SS,,
POLI1010,Intro to American Politics,,GenEd_SS,,
POLI1010SI,Supplemental Instr. for Poli S,,GenEd_SS,,
POLI1050,Intro to Public Policy,,GenEd_SS,,
POLI1100,Introduction to Politics,,GenEd_SS,,
POLI1110,Election of 2012,,GenEd_SS,,
POLI1120,Intro to Comp Pol Systems,,GenEd_SS,,
POLI1210,International Relations,,GenEd_SS,,
POLI1750,Intro to Env. Politics,,GenEd_SS,,
