course_id,course_name,credits,prereq,notes,category,source_sheet
PLAS5910,Industrial Thesis Develop I,,,,TechElective,Sheet1
PLAS5930,Cooperative Education,,,,TechElective,Sheet1
PLAS5950,Thermoplastic Elastomers,,,,TechElective,Sheet1
PLAS5960,"Plastics,Elastomers& Additives",,,,TechElective,Sheet1
PLAS5970,Plastics & Environment,,,,TechElective,Sheet1
PLAS6010,Grad Industrial Coop Educ I,,,,TechElective,Sheet1
PLAS6020,Med. Device Dev. Regulation,,,,TechElective,Sheet1
PLAS6060,Platics Manufacturing Sys Eng,,,,TechElective,Sheet1
PLAS6070,Supply Chain Mgmt.for Engineer,,,,TechElective,Sheet1
PLAS6100,Plastics Industry Development,,,,TechElective,Sheet1
PLAS6110,Coloration of Eng.Thermo.,,,,TechElective,Sheet1
PLAS6180,Structural Product Design,,,,TechElective,Sheet1
PLAS6420,Char.of Polymers & Plastics,,,,TechElective,Sheet1
PLAS6500,Nan.Trans.Phen.for.Man.Nano.,,,,TechElective,Sheet1
PLAS6750,Biomaterials II,,,,TechElective,Sheet1
PLAS6780,New Dev. in Polymer Man.,,,,TechElective,Sheet1
PLAS6820,Physical Polymer Science,,,,TechElective,Sheet1
PLAS6820,Physical Polymer Science,,,,TechElective,Sheet1
